Train No,Train Name,SEQ,Station Code,Station Name,Arrival time,Departure Time,Distance,Source Station,Source Station Name,Destination Station,Destination Station Name
12608,SBC-MAS LALB,1,SBC,KRANTIVIRA S,6:30:00,6:30:00,0,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,2,BNC,BANGALORE CA,6:40:00,6:42:00,4,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,3,KJM,KRISHNA RAJA,6:51:00,6:53:00,14,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,4,BWT,BANGARPET JN,7:33:00,7:35:00,70,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,5,KPN,KUPPAM,8:02:00,8:03:00,104,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,6,JTJ,JOLARPETTAI,8:44:00,8:45:00,148,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,7,AB,AMBUR,9:08:00,9:10:00,179,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,8,KPD,KATPADI JN,9:48:00,9:50:00,231,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,9,WJR,WALAJAH ROAD,10:08:00,10:10:00,256,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,10,SHU,SHOLINGUR,10:18:00,10:20:00,271,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,11,AJJ,ARAKKONAM JN,10:43:00,10:45:00,292,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,12,PER,PERAMBUR,11:33:00,11:35:00,355,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
12608,SBC-MAS LALB,13,MAS,CHENNAI CENT,12:15:00,12:15:00,361,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION),MAS,CHENNAI CENTRAL
1011,CSMT-NGP SF,1,CSMT,CST-MUMBAI,0:20:00,0:20:00,0,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,2,DR,DADAR,0:37:00,0:40:00,8,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,3,TNA,THANE,1:07:00,1:10:00,33,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,4,KYN,KALYAN JN,1:32:00,1:35:00,53,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,5,IGP,IGATPURI,3:40:00,3:45:00,136,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,6,NK,NASIK ROAD,4:27:00,4:30:00,187,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,7,MMR,MANMAD JN.,5:27:00,5:30:00,260,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,8,JL,JALGAON JN.,7:08:00,7:10:00,419,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,9,BSL,BHUSAVAL JN.,7:35:00,7:45:00,444,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,10,MKU,MALKAPUR,8:18:00,8:20:00,499,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,11,SEG,SHEGAON,8:58:00,9:00:00,551,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,12,AK,AKOLA JN.,9:25:00,9:28:00,588,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,13,MZR,MURTAJAPUR J,10:02:00,10:05:00,626,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,14,BD,BADNERA JN.,11:02:00,11:05:00,667,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,15,DMN,DHAMANGAON,11:41:00,11:42:00,713,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,16,PLO,PULGAON JN.,11:58:00,11:59:00,733,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,17,WR,WARDHA JN.,12:32:00,12:35:00,762,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
1011,CSMT-NGP SF,18,NGP,NAGPUR JN.(C,14:20:00,14:20:00,841,CSMT,CST-MUMBAI,NGP,NAGPUR JN.(CR)
2731,HYB-JP HSP,1,HYB,HYDERABAD DE,16:25:00,16:25:00,0,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,2,SC,SECUNDERABAD,16:55:00,17:00:00,10,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,3,MED,MEDCHAL,17:39:00,17:40:00,37,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,4,KMC,KAMAREDDI,19:19:00,19:20:00,118,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,5,NZB,NIZAMABAD,20:20:00,20:22:00,170,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,6,DAB,DHARMABAD,21:00:00,21:01:00,209,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,7,MUE,MUDKHED JN.,22:43:00,22:45:00,259,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,8,NED,NANDED,0:01:00,0:10:00,281,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,9,PAU,PURNA  JN.,0:40:00,1:00:00,311,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,10,BMF,BASMAT,1:20:00,1:21:00,334,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,11,HNL,HINGOLI(DECC,2:05:00,2:07:00,392,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,12,WHM,WASHIM,3:00:00,3:01:00,439,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,13,AK,AKOLA JN.,4:20:00,4:30:00,518,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,14,MKU,MALKAPUR,5:28:00,5:30:00,608,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,15,BAU,BURHANPUR,6:50:00,6:52:00,718,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,16,KNW,KHANDWA JN.,9:20:00,9:25:00,787,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,17,ET,ITARSI,12:30:00,12:35:00,970,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,18,BPL,BHOPAL,14:25:00,14:35:00,1062,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,19,UJN,UJJAIN JN,17:10:00,17:20:00,1246,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,20,NAD,NAGDA JN,18:20:00,18:22:00,1301,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,21,RTM,RATLAM JN,19:20:00,19:45:00,1345,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,22,MDS,MANDSOR,21:04:00,21:06:00,1429,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,23,NMH,NIMACH,22:00:00,22:02:00,1478,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,24,COR,CHITTAURGARH,23:20:00,23:30:00,1534,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,25,BHL,BHILWARA,0:30:00,0:35:00,1588,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,26,AII,AJMER JN.,3:05:00,3:20:00,1720,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,27,KSG,KISHANGARH,3:48:00,3:50:00,1749,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,28,FL,PHULERA JN.,4:40:00,4:45:00,1800,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2731,HYB-JP HSP,29,JP,JAIPUR JN.,6:25:00,6:25:00,1854,HYB,HYDERABAD DECCAN,JP,JAIPUR JN.
2841,SRC MAS SPL,1,SRC,SANTRAGACHI,12:40:00,12:40:00,0,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,2,KGP,KHARAGPUR,14:25:00,14:30:00,107,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,3,BHC,BHADRAKH,17:28:00,17:30:00,290,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,4,CTC,CUTTACK JN.,18:45:00,18:47:00,406,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,5,BBS,BHUBANESWAR,19:20:00,19:25:00,433,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,6,KUR,KHURDA ROAD,19:50:00,20:00:00,452,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,7,VSKP,VISAKHAPATNA,2:05:00,2:35:00,875,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,8,DVD,DUVVADA,3:03:00,3:05:00,893,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,9,RJY,RAJAHMUNDRY,5:22:00,5:24:00,1076,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,10,BZA,VIJAYWADA JN,7:50:00,8:00:00,1226,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,11,NLR,NELLORE,11:00:00,11:02:00,1480,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
2841,SRC MAS SPL,12,MAS,CHENNAI CENT,15:20:00,15:20:00,1656,SRC,SANTRAGACHI JN.,MAS,CHENNAI CENTRAL
11301,UDYAN EXPRES,1,CSMT,CST-MUMBAI,8:10:00,8:10:00,0,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,2,DR,DADAR,8:22:00,8:25:00,8,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,3,KYN,KALYAN JN,9:02:00,9:05:00,53,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,4,LNL,LONAVLA,10:32:00,10:35:00,127,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,5,PUNE,PUNE JN.,11:40:00,11:45:00,191,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,6,URI,URULI,12:14:00,12:15:00,219,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,7,DD,DAUND JN.,13:00:00,13:10:00,269,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,8,KWV,KURDUVADI JN,14:58:00,15:00:00,378,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,9,SUR,SOLAPUR,16:05:00,16:15:00,456,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,10,AKOR,AKALKOT ROAD,16:48:00,16:50:00,492,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,11,DUD,DUDHANI,17:13:00,17:15:00,520,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,12,GUR,GANGAPUR ROA,17:43:00,17:45:00,543,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,13,GR,GULBARGA,18:39:00,18:44:00,569,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,14,SDB,SHAHABAD,19:08:00,19:10:00,596,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,15,WADI,WADI JN.,19:40:00,19:45:00,606,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,16,NW,NALWAR,19:58:00,20:00:00,619,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,17,YG,YADGIR,20:19:00,20:20:00,645,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,18,SADP,SAIDAPUR,20:44:00,20:45:00,668,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,19,KSN,KRISHNA,21:14:00,21:15:00,688,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,20,RC,RAICHUR,21:43:00,21:45:00,714,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,21,MALM,MANTHRALAYAM,22:09:00,22:10:00,742,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,22,AD,ADONI,22:49:00,22:50:00,783,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,23,GTL,GUNTAKAL JN.,23:40:00,23:45:00,834,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,24,GY,GOOTY JN.,0:14:00,0:15:00,863,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,25,ATP,ANANTAPUR,2:38:00,2:40:00,920,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,26,DMM,DHARMAVARAM,4:10:00,4:15:00,953,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,27,SSPN,SRI SATYA SA,4:43:00,4:45:00,986,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,28,PKD,PENU KONDA,5:08:00,5:09:00,1006,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,29,HUP,HINDUPUR,5:43:00,5:45:00,1044,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,30,GBD,GAURIBIDANUR,6:18:00,6:20:00,1067,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,31,DBU,DODBALLAPUR,7:01:00,7:02:00,1106,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,32,YNK,YELAHANKA JN,7:24:00,7:25:00,1127,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,33,BNCE,BANGALORE EA,7:59:00,8:00:00,1147,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,34,BNC,BANGALORE CA,8:10:00,8:15:00,1150,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11301,UDYAN EXPRES,35,SBC,KRANTIVIRA S,8:50:00,8:50:00,1154,CSMT,CST-MUMBAI,SBC,KRANTIVIRA SANGOLLI RAYANNA (BENGALURU STATION)
11449,JBP-SVDK EXP,1,JBP,JABALPUR,6:30:00,6:30:00,0,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,2,KTE,KATNI,7:50:00,8:00:00,90,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,3,DMO,DAMOH,9:38:00,9:40:00,202,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,4,SGO,SAUGOR,10:40:00,10:45:00,279,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,5,KYE,KHURAI,11:28:00,11:30:00,332,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,6,MAKR,MALKHEDI,12:18:00,12:20:00,350,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,7,JHS,JHANSI JN,14:45:00,14:55:00,498,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,8,GWL,GWALIOR JN,16:10:00,16:15:00,595,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,9,MRA,MORENA,16:40:00,16:42:00,634,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,10,AGC,AGRA CANTT,18:25:00,18:30:00,702,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,11,MTJ,MATHURA JN.,19:55:00,20:00:00,755,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,12,FDB,FARIDABAD,21:39:00,21:41:00,866,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,13,TKD,TUGALAKABAD,21:53:00,21:55:00,876,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
11449,JBP-SVDK EXP,14,OKA,OKHLA,22:06:00,22:07:00,880,JBP,JABALPUR,SVDK,SHRI MATA VAISHNO DEVI KATRA
